                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7732,                0.43238,                0.87103,                0.91732,                0.83229,                0.91488,                0.71202,                 0.6835,                0.38227,                 0.8593,                0.00604,                0.00604,                0.00604
                     36,                0.77287,                0.42578,                0.87075,                0.79172,                0.87454,                0.89257,                0.70901,                0.69095,                0.38179,                0.86022,              0.0059235,              0.0059235,              0.0059235
                     37,                 0.7705,                0.42697,                0.87192,                0.87179,                0.90552,                0.94139,                0.74028,                0.68974,                0.38276,                0.86177,              0.0058071,              0.0058071,              0.0058071
                     38,                 0.7684,                0.42556,                0.87122,                0.84532,                0.80772,                0.86092,                0.68942,                0.68863,                0.38522,                0.86069,              0.0056906,              0.0056906,              0.0056906
                     39,                0.76514,                0.42419,                 0.8674,                0.78283,                0.87191,                0.89041,                0.71415,                0.69273,                0.38303,                0.86146,              0.0055741,              0.0055741,              0.0055741
                     40,                0.75553,                0.41831,                0.86793,                0.78013,                0.83164,                0.87687,                0.70013,                0.68362,                0.38273,                0.85849,              0.0054576,              0.0054576,              0.0054576
                     41,                0.75962,                0.42245,                0.86826,                0.80792,                0.82758,                0.86339,                0.67998,                0.67706,                 0.3742,                 0.8577,              0.0053412,              0.0053412,              0.0053412
                     42,                0.75321,                0.41646,                0.86691,                0.81945,                0.84968,                0.88725,                0.69688,                0.67804,                0.37643,                0.85669,              0.0052247,              0.0052247,              0.0052247
                     43,                0.75218,                0.41521,                0.86576,                0.83418,                0.84722,                 0.8823,                0.69415,                0.69538,                0.37894,                0.86169,              0.0051082,              0.0051082,              0.0051082
                     44,                0.75036,                0.41327,                 0.8667,                0.77652,                0.89675,                0.87775,                 0.6882,                0.67567,                0.37359,                0.85618,              0.0049918,              0.0049918,              0.0049918
                     45,                0.74912,                0.41107,                0.86565,                0.80615,                0.86461,                0.89486,                0.70618,                0.68532,                0.37674,                0.85909,              0.0048753,              0.0048753,              0.0048753
                     46,                0.74787,                0.41117,                 0.8657,                0.90005,                0.82162,                0.91054,                0.71196,                0.68295,                0.37412,                 0.8588,              0.0047588,              0.0047588,              0.0047588
                     47,                0.74388,                0.40889,                0.86421,                0.87178,                  0.881,                0.91183,                0.72937,                0.67793,                0.37224,                0.85551,              0.0046424,              0.0046424,              0.0046424
                     48,                0.74194,                0.40802,                0.86282,                0.79229,                0.86973,                0.89893,                0.70736,                0.68356,                0.37203,                0.85792,              0.0045259,              0.0045259,              0.0045259
                     49,                0.73616,                0.40403,                0.86248,                0.82612,                0.87323,                0.88686,                0.70565,                  0.679,                0.36831,                0.85667,              0.0044094,              0.0044094,              0.0044094
                     50,                0.73621,                0.40438,                0.86028,                 0.8745,                 0.8539,                0.91067,                0.71466,                0.68738,                0.37348,                0.85999,              0.0042929,              0.0042929,              0.0042929
                     51,                0.73616,                0.40363,                0.86358,                  0.855,                0.86296,                0.89312,                0.72038,                0.67997,                0.37067,                0.85747,              0.0041765,              0.0041765,              0.0041765
                     52,                0.73634,                0.40354,                0.86152,                0.84878,                0.91344,                0.90798,                0.72701,                0.67608,                0.36869,                0.85534,                0.00406,                0.00406,                0.00406
                     53,                0.73068,                0.39931,                0.86115,                0.85503,                0.89094,                0.92053,                0.74873,                0.67028,                  0.363,                0.85562,              0.0039435,              0.0039435,              0.0039435
                     54,                0.73208,                 0.3989,                0.86122,                0.84061,                0.85752,                0.90886,                0.72064,                0.67187,                0.36752,                0.85552,              0.0038271,              0.0038271,              0.0038271
                     55,                 0.7272,                0.39676,                0.85898,                 0.9486,                0.81896,                0.93204,                0.74063,                 0.6722,                0.36364,                0.85552,              0.0037106,              0.0037106,              0.0037106
                     56,                0.72298,                0.39491,                0.85998,                0.89905,                0.84935,                0.92394,                0.74752,                0.67057,                0.36232,                0.85515,              0.0035941,              0.0035941,              0.0035941
                     57,                0.72538,                 0.3943,                0.85761,                0.81293,                0.86806,                0.90177,                0.72347,                 0.6766,                0.36245,                0.85607,              0.0034776,              0.0034776,              0.0034776
                     58,                0.72134,                0.39125,                0.85755,                0.86025,                0.87835,                0.92412,                0.74605,                0.67084,                0.36244,                0.85453,              0.0033612,              0.0033612,              0.0033612
                     59,                0.71352,                0.38928,                0.85671,                 0.8376,                0.88329,                0.91833,                0.73104,                0.66571,                0.36159,                0.85265,              0.0032447,              0.0032447,              0.0032447
                     60,                0.71281,                0.38671,                0.85696,                0.90147,                0.87215,                0.94771,                  0.748,                0.66843,                0.36067,                0.85338,              0.0031282,              0.0031282,              0.0031282
                     61,                0.71481,                0.38627,                0.85692,                0.91017,                0.82465,                0.93865,                0.75364,                0.67377,                0.36112,                0.85612,              0.0030118,              0.0030118,              0.0030118
                     62,                0.70995,                0.38225,                 0.8554,                0.92552,                0.81578,                0.93241,                0.75092,                0.66969,                0.35778,                0.85454,              0.0028953,              0.0028953,              0.0028953
                     63,                0.70581,                0.37982,                0.85553,                0.90694,                 0.8617,                0.92999,                0.75072,                 0.6679,                0.36023,                0.85457,              0.0027788,              0.0027788,              0.0027788
                     64,                0.70505,                 0.3809,                0.85521,                0.91271,                0.83757,                0.93806,                0.74043,                0.66779,                0.35787,                0.85378,              0.0026624,              0.0026624,              0.0026624
