                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77368,                0.41806,                0.86765,                0.77163,                0.89289,                0.87089,                0.69033,                 0.6862,                0.36897,                 0.8559,                0.00307,                0.00307,                0.00307
                     37,                0.77152,                0.41619,                 0.8672,                0.93661,                0.82598,                0.92626,                0.72069,                0.68152,                 0.3641,                0.85441,               0.002872,               0.002872,               0.002872
                     38,                0.76671,                 0.4132,                0.86471,                0.81511,                0.90123,                0.91473,                0.71462,                0.67834,                0.36564,                0.85394,               0.002674,               0.002674,               0.002674
                     39,                0.76859,                0.41227,                0.86595,                0.85641,                0.90052,                0.91502,                0.73142,                0.67887,                0.36522,                0.85371,               0.002476,               0.002476,               0.002476
                     40,                0.69085,                 0.3737,                0.85275,                0.88132,                0.87556,                0.92189,                 0.7191,                0.67684,                0.36269,                 0.8533,               0.002278,               0.002278,               0.002278
                     41,                0.68321,                0.36814,                0.85079,                0.90846,                0.86193,                0.93757,                 0.7272,                0.67939,                0.36207,                0.85383,                0.00208,                0.00208,                0.00208
                     42,                0.67891,                0.36442,                  0.849,                0.90932,                0.89606,                 0.9409,                0.73971,                0.67653,                0.35779,                0.85327,               0.001882,               0.001882,               0.001882
                     43,                0.67777,                 0.3623,                0.84783,                0.89626,                0.87833,                0.94273,                0.74553,                0.67665,                 0.3571,                0.85276,               0.001684,               0.001684,               0.001684
                     44,                0.67142,                0.35816,                0.84608,                0.85183,                0.93039,                0.94653,                0.75115,                0.67423,                0.35556,                0.85187,               0.001486,               0.001486,               0.001486
                     45,                0.66778,                0.35573,                0.84604,                0.88141,                0.86323,                0.94917,                0.75137,                0.67606,                0.35517,                0.85327,               0.001288,               0.001288,               0.001288
                     46,                0.66608,                0.35144,                0.84579,                 0.9135,                0.85499,                0.94586,                0.75215,                0.67474,                0.35357,                0.85225,                0.00109,                0.00109,                0.00109
                     47,                0.66214,                0.34844,                0.84355,                0.86357,                0.91996,                0.94144,                0.74955,                0.67452,                0.35368,                0.85245,               0.000892,               0.000892,               0.000892
                     48,                 0.6566,                0.34377,                0.84217,                0.87944,                0.87137,                0.94375,                0.74627,                0.67162,                0.35125,                 0.8512,               0.000694,               0.000694,               0.000694
                     49,                0.65168,                0.34071,                 0.8416,                0.81255,                0.92928,                0.93212,                0.74751,                0.67237,                0.35098,                0.85217,               0.000496,               0.000496,               0.000496
